# Unicode characters and corresponding LaTeX math mode commands
# *************************************************************
#
# :Copyright: © 2011 Günter Milde
# :Date:      Last revised 2011-11-08
# :Licence:   This work may be distributed and/or modified under the
#             conditions of the `LaTeX Project Public License`_,
#             either version 1.3 of this license or (at your option)
#             any later version.
#
# .. _LaTeX Project Public License: http://www.latex-project.org/lppl.txt
#
# This is a mapping of mathematical Unicode characters to corresponding
# (La)TeX commands.
#
# While the contents of this file represent the best information
# available to the author as of the date referenced above, it
# contains omissions and maybe errors. It is likely that the
# information in this file will change from time to time.
#
# The character encoding of the file is UTF-8.
#
# Each data record consists of 8 fields. Fields are delimited by “
# Spaces adjacent to the delimiter are not significant. The number and
# type of fields in this file may change in future versions.
#
# 1. code point (Unicode character number)
#
#    The code point field is unique.
#
# 2. literal character (UTF-8 encoded)
#
# 3. (La)TeX _`command`
#
#    Preferred representation of the character in TeX.
#    Alternative commands are listed in the comments_ field.
#
# 4. command used by the `unicode-math`_ package
#
#    .. _unicode-math:
#       http://mirror.ctan.org/help/Catalogue/entries/unicode-math.html
#
# 5. Unicode math character class (after MathClassEx_).
#
#    .. _MathClassEx:
#       http://www.unicode.org/Public/math/revision-11/MathClassEx-11.txt
#
#    The class can be one of:
#
#    :N: Normal- includes all digits and symbols requiring only one form
#    :A: Alphabetic
#    :B: Binary
#    :C: Closing – usually paired with opening delimiter
#    :D: Diacritic
#    :F: Fence - unpaired delimiter (often used as opening or closing)
#    :G: Glyph_Part- piece of large operator
#    :L: Large -n-ary or Large operator, often takes limits
#    :O: Opening – usually paired with closing delimiter
#    :P: Punctuation
#    :R: Relation- includes arrows
#    :S: Space
#    :U: Unary – operators that are only unary
#    :V: Vary – operators that can be unary or binary depending on context
#    :X: Special –characters not covered by other classes
#
#    C, O, and F operators are stretchy. In addition some binary
#    operators, such as 002F are stretchy as noted in the descriptive
#    comments. The classes are also useful in determining extra spacing
#    around the operators as discussed in UTR#25.
#
# 6. TeX math category (after unimath-symbols_)
#
#    .. _unimath-symbols:
#       http://mirror.ctan.org/macros/latex/contrib/unicode-math/unimath-symbols.pdf
#
# 7. requirements and conflicts
#
#    Space delimited list of LaTeX packages or features [1]_ providing
#    the LaTeX command_ or conflicting with it.
#
#    Packages/features preceded by a HYPHEN-MINUS (-) use the command
#    for a different symbol.
#
#    To save space, packages providing/modifying (almost) all commands
#    of a feature or another package are not listed here but in the
#    ``packages.txt`` file.
#
#    .. [1] A feature can be a set of commands common to several packages,
#    	    (e.g. ``mathbb`` or ``slantedGreek``) or a constraint (e.g.
#	    ``literal`` mapping plain characters to upright face).
#
# 8. descriptive _`comments`
#
#    The descriptive comments provide more information about the
#    character, or its specific appearance or use.
#
#    Some descriptions contain references to related commands,
#    marked by a character describing the relation
#
#    :=:  equals  (alias commands),
#    :#:  approx  (similar, different character with same glyph),
#    :x:  not     (false friends and name clashes),
#    :t:  text    (text mode command),
#
#    followed by requirements in parantheses, and
#    delimited by commas.
#
#    Comments in UPPERCASE are Unicode character names
#
unicode-math;# no.
measangledltosw;29AF
revemptyset;29B0
emptysetobar;29B1
emptysetocirc;29B2
emptysetoarr;29B3
emptysetoarrl;29B4
circlehbar;29B5
circledvert;29B6
circledparallel;29B7
obslash;29B8
operp;29B9
obot;29BA
olcross;29BB
odotslashdot;29BC
uparrowoncircle;29BD
circledwhitebullet;29BE
circledbullet;29BF
olessthan;29C0
ogreaterthan;29C1
cirscir;29C2
cirE;29C3
boxdiag;29C4
boxbslash;29C5
boxast;29C6
boxcircle;29C7
boxbox;29C8
boxonbox;29C9
triangleodot;29CA
triangleubar;29CB
triangles;29CC
triangleserifs;29CD
rtriltri;29CE
ltrivb;29CF
vbrtri;29D0
lfbowtie;29D1
rfbowtie;29D2
fbowtie;29D3
lftimes;29D4
rftimes;29D5
hourglass;29D6
blackhourglass;29D7
lvzigzag;29D8
rvzigzag;29D9
Lvzigzag;29DA
Rvzigzag;29DB
iinfin;29DC
tieinfty;29DD
nvinfty;29DE
dualmap;29DF
laplac;29E0
lrtriangleeq;29E1
shuffle;29E2
eparsl;29E3
smeparsl;29E4
eqvparsl;29E5
gleichstark;29E6
thermod;29E7
downtriangleleftblack;29E8
downtrianglerightblack;29E9
blackdiamonddownarrow;29EA
mdlgblklozenge;29EB
circledownarrow;29EC
blackcircledownarrow;29ED
errbarsquare;29EE
errbarblacksquare;29EF
errbardiamond;29F0
errbarblackdiamond;29F1
errbarcircle;29F2
errbarblackcircle;29F3
ruledelayed;29F4
setminus;29F5
dsol;29F6
rsolbar;29F7
xsol;29F8
xbsol;29F9
doubleplus;29FA
tripleplus;29FB
lcurvyangle;29FC
rcurvyangle;29FD
tplus;29FE
tminus;29FF
bigodot;2A00
bigoplus;2A01
bigotimes;2A02
bigcupdot;2A03
biguplus;2A04
bigsqcap;2A05
bigsqcup;2A06
conjquant;2A07
disjquant;2A08
bigtimes;2A09
modtwosum;2A0A
sumint;2A0B
iiiint;2A0C
intbar;2A0D
intBar;2A0E
fint;2A0F
cirfnint;2A10
awint;2A11
rppolint;2A12
scpolint;2A13
npolint;2A14
pointint;2A15
sqint;2A16
intlarhk;2A17
intx;2A18
intcap;2A19
intcup;2A1A
upint;2A1B
lowint;2A1C
Join;2A1D
bigtriangleleft;2A1E
zcmp;2A1F
zpipe;2A20
zproject;2A21
ringplus;2A22
plushat;2A23
simplus;2A24
plusdot;2A25
plussim;2A26
plussubtwo;2A27
plustrif;2A28
commaminus;2A29
minusdot;2A2A
minusfdots;2A2B
minusrdots;2A2C
opluslhrim;2A2D
oplusrhrim;2A2E
vectimes;2A2F
dottimes;2A30
timesbar;2A31
btimes;2A32
smashtimes;2A33
otimeslhrim;2A34
otimesrhrim;2A35
otimeshat;2A36
Otimes;2A37
odiv;2A38
triangleplus;2A39
triangleminus;2A3A
triangletimes;2A3B
intprod;2A3C
intprodr;2A3D
fcmp;2A3E
amalg;2A3F
capdot;2A40
uminus;2A41
barcup;2A42
barcap;2A43
capwedge;2A44
cupvee;2A45
cupovercap;2A46
capovercup;2A47
cupbarcap;2A48
capbarcup;2A49
twocups;2A4A
twocaps;2A4B
closedvarcup;2A4C
closedvarcap;2A4D
Sqcap;2A4E
Sqcup;2A4F
closedvarcupsmashprod;2A50
wedgeodot;2A51
veeodot;2A52
Wedge;2A53
Vee;2A54
wedgeonwedge;2A55
veeonvee;2A56
bigslopedvee;2A57
bigslopedwedge;2A58
veeonwedge;2A59
wedgemidvert;2A5A
veemidvert;2A5B
midbarwedge;2A5C
midbarvee;2A5D
doublebarwedge;2A5E
wedgebar;2A5F
wedgedoublebar;2A60
varveebar;2A61
doublebarvee;2A62
veedoublebar;2A63
dsub;2A64
rsub;2A65
eqdot;2A66
dotequiv;2A67
equivVert;2A68
equivVvert;2A69
dotsim;2A6A
simrdots;2A6B
simminussim;2A6C
congdot;2A6D
asteq;2A6E
hatapprox;2A6F
approxeqq;2A70
eqqplus;2A71
pluseqq;2A72
eqqsim;2A73
Coloneq;2A74
eqeq;2A75
eqeqeq;2A76
ddotseq;2A77
equivDD;2A78
ltcir;2A79
gtcir;2A7A
ltquest;2A7B
gtquest;2A7C
leqslant;2A7D
geqslant;2A7E
lesdot;2A7F
gesdot;2A80
lesdoto;2A81
gesdoto;2A82
lesdotor;2A83
gesdotol;2A84
lessapprox;2A85
gtrapprox;2A86
lneq;2A87
gneq;2A88
lnapprox;2A89
gnapprox;2A8A
lesseqqgtr;2A8B
gtreqqless;2A8C
lsime;2A8D
gsime;2A8E
lsimg;2A8F
gsiml;2A90
lgE;2A91
glE;2A92
lesges;2A93
gesles;2A94
eqslantless;2A95
eqslantgtr;2A96
elsdot;2A97
egsdot;2A98
eqqless;2A99
eqqgtr;2A9A
eqqslantless;2A9B
eqqslantgtr;2A9C
simless;2A9D
simgtr;2A9E
simlE;2A9F
simgE;2AA0
Lt;2AA1
Gt;2AA2
partialmeetcontraction;2AA3
glj;2AA4
gla;2AA5
ltcc;2AA6
gtcc;2AA7
lescc;2AA8
gescc;2AA9
smt;2AAA
lat;2AAB
smte;2AAC
late;2AAD
bumpeqq;2AAE
preceq;2AAF
succeq;2AB0
precneq;2AB1
succneq;2AB2
preceqq;2AB3
succeqq;2AB4
precneqq;2AB5
succneqq;2AB6
precapprox;2AB7
succapprox;2AB8
precnapprox;2AB9
succnapprox;2ABA
Prec;2ABB
Succ;2ABC
subsetdot;2ABD
supsetdot;2ABE
subsetplus;2ABF
supsetplus;2AC0
submult;2AC1
supmult;2AC2
subedot;2AC3
supedot;2AC4
subseteqq;2AC5
supseteqq;2AC6
subsim;2AC7
supsim;2AC8
subsetapprox;2AC9
supsetapprox;2ACA
subsetneqq;2ACB
supsetneqq;2ACC
lsqhook;2ACD
rsqhook;2ACE
csub;2ACF
csup;2AD0
csube;2AD1
csupe;2AD2
subsup;2AD3
supsub;2AD4
subsub;2AD5
supsup;2AD6
suphsub;2AD7
supdsub;2AD8
forkv;2AD9
topfork;2ADA
mlcp;2ADB
forks;2ADC
forksnot;2ADD
shortlefttack;2ADE
shortdowntack;2ADF
shortuptack;2AE0
perps;2AE1
vDdash;2AE2
dashV;2AE3
Dashv;2AE4
DashV;2AE5
varVdash;2AE6
Barv;2AE7
vBar;2AE8
vBarv;2AE9
barV;2AEA
Vbar;2AEB
Not;2AEC
bNot;2AED
revnmid;2AEE
cirmid;2AEF
midcir;2AF0
topcir;2AF1
nhpar;2AF2
parsim;2AF3
interleave;2AF4
nhVvert;2AF5
threedotcolon;2AF6
lllnest;2AF7
gggnest;2AF8
leqqslant;2AF9
geqqslant;2AFA
trslash;2AFB
biginterleave;2AFC
sslash;2AFD
talloblong;2AFE
bigtalloblong;2AFF
;2B00
;2B01
;2B02
;2B03
;2B04
;2B05
;2B06
;2B07
;2B08
;2B09
;2B0A
;2B0B
;2B0C
;2B0D
;2B0E
;2B0F
;2B10
;2B11
squaretopblack;2B12
squarebotblack;2B13
squareurblack;2B14
squarellblack;2B15
diamondleftblack;2B16
diamondrightblack;2B17
diamondtopblack;2B18
diamondbotblack;2B19
dottedsquare;2B1A
lgblksquare;2B1B
lgwhtsquare;2B1C
vysmblksquare;2B1D
vysmwhtsquare;2B1E
pentagonblack;2B1F
pentagon;2B20
varhexagon;2B21
varhexagonblack;2B22
hexagonblack;2B23
lgblkcircle;2B24
mdblkdiamond;2B25
mdwhtdiamond;2B26
mdblklozenge;2B27
mdwhtlozenge;2B28
smblkdiamond;2B29
smblklozenge;2B2A
smwhtlozenge;2B2B
blkhorzoval;2B2C
whthorzoval;2B2D
blkvertoval;2B2E
whtvertoval;2B2F
circleonleftarrow;2B30
leftthreearrows;2B31
leftarrowonoplus;2B32
longleftsquigarrow;2B33
nvtwoheadleftarrow;2B34
nVtwoheadleftarrow;2B35
twoheadmapsfrom;2B36
twoheadleftdbkarrow;2B37
leftdotarrow;2B38
nvleftarrowtail;2B39
nVleftarrowtail;2B3A
twoheadleftarrowtail;2B3B
nvtwoheadleftarrowtail;2B3C
nVtwoheadleftarrowtail;2B3D
leftarrowx;2B3E
leftcurvedarrow;2B3F
equalleftarrow;2B40
bsimilarleftarrow;2B41
leftarrowbackapprox;2B42
rightarrowgtr;2B43
rightarrowsupset;2B44
LLeftarrow;2B45
RRightarrow;2B46
bsimilarrightarrow;2B47
rightarrowbackapprox;2B48
similarleftarrow;2B49
leftarrowapprox;2B4A
leftarrowbsimilar;2B4B
rightarrowbsimilar;2B4C
medwhitestar;2B50
medblackstar;2B51
smwhitestar;2B52
rightpentagonblack;2B53
rightpentagon;2B54
;3008
;3009
postalmark;3012
lbrbrak;3014
rbrbrak;3015
Lbrbrak;3018
Rbrbrak;3019
;301A
;301B
hzigzag;3030
;306E
;FB29
;FE00
;FE61
;FE62
;FE63
;FE64
;FE65
;FE66
;FE68
;FF0B
;FF1C
;FF1D
;FF1E
;FF3C
;FF3E
;FF5C
;FF5E
;FFE2
;FFE9
;FFEA
;FFEB
;FFEC
mbfA;1D400
mbfB;1D401
mbfC;1D402
mbfD;1D403
mbfE;1D404
mbfF;1D405
mbfG;1D406
mbfH;1D407
mbfI;1D408
mbfJ;1D409
mbfK;1D40A
mbfL;1D40B
mbfM;1D40C
mbfN;1D40D
mbfO;1D40E
mbfP;1D40F
mbfQ;1D410
mbfR;1D411
mbfS;1D412
mbfT;1D413
mbfU;1D414
mbfV;1D415
mbfW;1D416
mbfX;1D417
mbfY;1D418
mbfZ;1D419
mbfa;1D41A
mbfb;1D41B
mbfc;1D41C
mbfd;1D41D
mbfe;1D41E
mbff;1D41F
mbfg;1D420
mbfh;1D421
mbfi;1D422
mbfj;1D423
mbfk;1D424
mbfl;1D425
mbfm;1D426
mbfn;1D427
mbfo;1D428
mbfp;1D429
mbfq;1D42A
mbfr;1D42B
mbfs;1D42C
mbft;1D42D
mbfu;1D42E
mbfv;1D42F
mbfw;1D430
mbfx;1D431
mbfy;1D432
mbfz;1D433
mitA;1D434
mitB;1D435
mitC;1D436
mitD;1D437
mitE;1D438
mitF;1D439
mitG;1D43A
mitH;1D43B
mitI;1D43C
mitJ;1D43D
mitK;1D43E
mitL;1D43F
mitM;1D440
mitN;1D441
mitO;1D442
mitP;1D443
mitQ;1D444
mitR;1D445
mitS;1D446
mitT;1D447
mitU;1D448
mitV;1D449
mitW;1D44A
mitX;1D44B
mitY;1D44C
mitZ;1D44D
mita;1D44E
mitb;1D44F
mitc;1D450
mitd;1D451
mite;1D452
mitf;1D453
mitg;1D454
miti;1D456
mitj;1D457
mitk;1D458
mitl;1D459
mitm;1D45A
mitn;1D45B
mito;1D45C
mitp;1D45D
mitq;1D45E
mitr;1D45F
mits;1D460
mitt;1D461
mitu;1D462
mitv;1D463
mitw;1D464
mitx;1D465
mity;1D466
mitz;1D467
mbfitA;1D468
mbfitB;1D469
mbfitC;1D46A
mbfitD;1D46B
mbfitE;1D46C
mbfitF;1D46D
mbfitG;1D46E
mbfitH;1D46F
mbfitI;1D470
mbfitJ;1D471
mbfitK;1D472
mbfitL;1D473
mbfitM;1D474
mbfitN;1D475
mbfitO;1D476
mbfitP;1D477
mbfitQ;1D478
mbfitR;1D479
mbfitS;1D47A
mbfitT;1D47B
mbfitU;1D47C
mbfitV;1D47D
mbfitW;1D47E
mbfitX;1D47F
mbfitY;1D480
mbfitZ;1D481
mbfita;1D482
mbfitb;1D483
mbfitc;1D484
mbfitd;1D485
mbfite;1D486
mbfitf;1D487
mbfitg;1D488
mbfith;1D489
mbfiti;1D48A
mbfitj;1D48B
mbfitk;1D48C
mbfitl;1D48D
mbfitm;1D48E
mbfitn;1D48F
mbfito;1D490
mbfitp;1D491
mbfitq;1D492
mbfitr;1D493
mbfits;1D494
mbfitt;1D495
mbfitu;1D496
mbfitv;1D497
mbfitw;1D498
mbfitx;1D499
mbfity;1D49A
mbfitz;1D49B
mscrA;1D49C
mscrC;1D49E
mscrD;1D49F
mscrG;1D4A2
mscrJ;1D4A5
mscrK;1D4A6
mscrN;1D4A9
mscrO;1D4AA
mscrP;1D4AB
mscrQ;1D4AC
mscrS;1D4AE
mscrT;1D4AF
mscrU;1D4B0
mscrV;1D4B1
mscrW;1D4B2
mscrX;1D4B3
mscrY;1D4B4
mscrZ;1D4B5
mscra;1D4B6
mscrb;1D4B7
mscrc;1D4B8
mscrd;1D4B9
mscrf;1D4BB
mscrh;1D4BD
mscri;1D4BE
mscrj;1D4BF
mscrk;1D4C0
mscrl;1D4C1
mscrm;1D4C2
mscrn;1D4C3
mscrp;1D4C5
mscrq;1D4C6
mscrr;1D4C7
mscrs;1D4C8
mscrt;1D4C9
mscru;1D4CA
mscrv;1D4CB
mscrw;1D4CC
mscrx;1D4CD
mscry;1D4CE
mscrz;1D4CF
mbfscrA;1D4D0
mbfscrB;1D4D1
mbfscrC;1D4D2
mbfscrD;1D4D3
mbfscrE;1D4D4
mbfscrF;1D4D5
mbfscrG;1D4D6
mbfscrH;1D4D7
mbfscrI;1D4D8
mbfscrJ;1D4D9
mbfscrK;1D4DA
mbfscrL;1D4DB
mbfscrM;1D4DC
mbfscrN;1D4DD
mbfscrO;1D4DE
mbfscrP;1D4DF
mbfscrQ;1D4E0
mbfscrR;1D4E1
mbfscrS;1D4E2
mbfscrT;1D4E3
mbfscrU;1D4E4
mbfscrV;1D4E5
mbfscrW;1D4E6
mbfscrX;1D4E7
mbfscrY;1D4E8
mbfscrZ;1D4E9
mbfscra;1D4EA
mbfscrb;1D4EB
mbfscrc;1D4EC
mbfscrd;1D4ED
mbfscre;1D4EE
mbfscrf;1D4EF
mbfscrg;1D4F0
mbfscrh;1D4F1
mbfscri;1D4F2
mbfscrj;1D4F3
mbfscrk;1D4F4
mbfscrl;1D4F5
mbfscrm;1D4F6
mbfscrn;1D4F7
mbfscro;1D4F8
mbfscrp;1D4F9
mbfscrq;1D4FA
mbfscrr;1D4FB
mbfscrs;1D4FC
mbfscrt;1D4FD
mbfscru;1D4FE
mbfscrv;1D4FF
mbfscrw;1D500
mbfscrx;1D501
mbfscry;1D502
mbfscrz;1D503
mfrakA;1D504
mfrakB;1D505
mfrakD;1D507
mfrakE;1D508
mfrakF;1D509
mfrakG;1D50A
mfrakJ;1D50D
mfrakK;1D50E
mfrakL;1D50F
mfrakM;1D510
mfrakN;1D511
mfrakO;1D512
mfrakP;1D513
mfrakQ;1D514
mfrakS;1D516
mfrakT;1D517
mfrakU;1D518
mfrakV;1D519
mfrakW;1D51A
mfrakX;1D51B
mfrakY;1D51C
mfraka;1D51E
mfrakb;1D51F
mfrakc;1D520
mfrakd;1D521
mfrake;1D522
mfrakf;1D523
mfrakg;1D524
mfrakh;1D525
mfraki;1D526
mfrakj;1D527
mfrakk;1D528
mfrakl;1D529
mfrakm;1D52A
mfrakn;1D52B
mfrako;1D52C
mfrakp;1D52D
mfrakq;1D52E
mfrakr;1D52F
mfraks;1D530
mfrakt;1D531
mfraku;1D532
mfrakv;1D533
mfrakw;1D534
mfrakx;1D535
mfraky;1D536
mfrakz;1D537
BbbA;1D538
BbbB;1D539
BbbD;1D53B
BbbE;1D53C
BbbF;1D53D
BbbG;1D53E
BbbI;1D540
BbbJ;1D541
BbbK;1D542
BbbL;1D543
BbbM;1D544
BbbO;1D546
BbbS;1D54A
BbbT;1D54B
BbbU;1D54C
BbbV;1D54D
BbbW;1D54E
BbbX;1D54F
BbbY;1D550
Bbba;1D552
Bbbb;1D553
Bbbc;1D554
Bbbd;1D555
Bbbe;1D556
Bbbf;1D557
Bbbg;1D558
Bbbh;1D559
Bbbi;1D55A
Bbbj;1D55B
Bbbk;1D55C
Bbbl;1D55D
Bbbm;1D55E
Bbbn;1D55F
Bbbo;1D560
Bbbp;1D561
Bbbq;1D562
Bbbr;1D563
Bbbs;1D564
Bbbt;1D565
Bbbu;1D566
Bbbv;1D567
Bbbw;1D568
Bbbx;1D569
Bbby;1D56A
Bbbz;1D56B
mbffrakA;1D56C
mbffrakB;1D56D
mbffrakC;1D56E
mbffrakD;1D56F
mbffrakE;1D570
mbffrakF;1D571
mbffrakG;1D572
mbffrakH;1D573
mbffrakI;1D574
mbffrakJ;1D575
mbffrakK;1D576
mbffrakL;1D577
mbffrakM;1D578
mbffrakN;1D579
mbffrakO;1D57A
mbffrakP;1D57B
mbffrakQ;1D57C
mbffrakR;1D57D
mbffrakS;1D57E
mbffrakT;1D57F
mbffrakU;1D580
mbffrakV;1D581
mbffrakW;1D582
mbffrakX;1D583
mbffrakY;1D584
mbffrakZ;1D585
mbffraka;1D586
mbffrakb;1D587
mbffrakc;1D588
mbffrakd;1D589
mbffrake;1D58A
mbffrakf;1D58B
mbffrakg;1D58C
mbffrakh;1D58D
mbffraki;1D58E
mbffrakj;1D58F
mbffrakk;1D590
mbffrakl;1D591
mbffrakm;1D592
mbffrakn;1D593
mbffrako;1D594
mbffrakp;1D595
mbffrakq;1D596
mbffrakr;1D597
mbffraks;1D598
mbffrakt;1D599
mbffraku;1D59A
mbffrakv;1D59B
mbffrakw;1D59C
mbffrakx;1D59D
mbffraky;1D59E
mbffrakz;1D59F
msansA;1D5A0
msansB;1D5A1
msansC;1D5A2
msansD;1D5A3
msansE;1D5A4
msansF;1D5A5
msansG;1D5A6
msansH;1D5A7
msansI;1D5A8
msansJ;1D5A9
msansK;1D5AA
msansL;1D5AB
msansM;1D5AC
msansN;1D5AD
msansO;1D5AE
msansP;1D5AF
msansQ;1D5B0
msansR;1D5B1
msansS;1D5B2
msansT;1D5B3
msansU;1D5B4
msansV;1D5B5
msansW;1D5B6
msansX;1D5B7
msansY;1D5B8
msansZ;1D5B9
msansa;1D5BA
msansb;1D5BB
msansc;1D5BC
msansd;1D5BD
msanse;1D5BE
msansf;1D5BF
msansg;1D5C0
msansh;1D5C1
msansi;1D5C2
msansj;1D5C3
msansk;1D5C4
msansl;1D5C5
msansm;1D5C6
msansn;1D5C7
msanso;1D5C8
msansp;1D5C9
msansq;1D5CA
msansr;1D5CB
msanss;1D5CC
msanst;1D5CD
msansu;1D5CE
msansv;1D5CF
msansw;1D5D0
msansx;1D5D1
msansy;1D5D2
msansz;1D5D3
mbfsansA;1D5D4
mbfsansB;1D5D5
mbfsansC;1D5D6
mbfsansD;1D5D7
mbfsansE;1D5D8
mbfsansF;1D5D9
mbfsansG;1D5DA
mbfsansH;1D5DB
mbfsansI;1D5DC
mbfsansJ;1D5DD
mbfsansK;1D5DE
mbfsansL;1D5DF
mbfsansM;1D5E0
mbfsansN;1D5E1
mbfsansO;1D5E2
mbfsansP;1D5E3
mbfsansQ;1D5E4
mbfsansR;1D5E5
mbfsansS;1D5E6
mbfsansT;1D5E7
mbfsansU;1D5E8
mbfsansV;1D5E9
mbfsansW;1D5EA
mbfsansX;1D5EB
mbfsansY;1D5EC
mbfsansZ;1D5ED
mbfsansa;1D5EE
mbfsansb;1D5EF
mbfsansc;1D5F0
mbfsansd;1D5F1
mbfsanse;1D5F2
mbfsansf;1D5F3
mbfsansg;1D5F4
mbfsansh;1D5F5
mbfsansi;1D5F6
mbfsansj;1D5F7
mbfsansk;1D5F8
mbfsansl;1D5F9
mbfsansm;1D5FA
mbfsansn;1D5FB
mbfsanso;1D5FC
mbfsansp;1D5FD
mbfsansq;1D5FE
mbfsansr;1D5FF
mbfsanss;1D600
mbfsanst;1D601
mbfsansu;1D602
mbfsansv;1D603
mbfsansw;1D604
mbfsansx;1D605
mbfsansy;1D606
mbfsansz;1D607
mitsansA;1D608
mitsansB;1D609
mitsansC;1D60A
mitsansD;1D60B
mitsansE;1D60C
mitsansF;1D60D
mitsansG;1D60E
mitsansH;1D60F
mitsansI;1D610
mitsansJ;1D611
mitsansK;1D612
mitsansL;1D613
mitsansM;1D614
mitsansN;1D615
mitsansO;1D616
mitsansP;1D617
mitsansQ;1D618
mitsansR;1D619
mitsansS;1D61A
mitsansT;1D61B
mitsansU;1D61C
mitsansV;1D61D
mitsansW;1D61E
mitsansX;1D61F
mitsansY;1D620
mitsansZ;1D621
mitsansa;1D622
mitsansb;1D623
mitsansc;1D624
mitsansd;1D625
mitsanse;1D626
mitsansf;1D627
mitsansg;1D628
mitsansh;1D629
mitsansi;1D62A
mitsansj;1D62B
mitsansk;1D62C
mitsansl;1D62D
mitsansm;1D62E
mitsansn;1D62F
mitsanso;1D630
mitsansp;1D631
mitsansq;1D632
mitsansr;1D633
mitsanss;1D634
mitsanst;1D635
mitsansu;1D636
mitsansv;1D637
mitsansw;1D638
mitsansx;1D639
mitsansy;1D63A
mitsansz;1D63B
mbfitsansA;1D63C
mbfitsansB;1D63D
mbfitsansC;1D63E
mbfitsansD;1D63F
mbfitsansE;1D640
mbfitsansF;1D641
mbfitsansG;1D642
mbfitsansH;1D643
mbfitsansI;1D644
mbfitsansJ;1D645
mbfitsansK;1D646
mbfitsansL;1D647
mbfitsansM;1D648
mbfitsansN;1D649
mbfitsansO;1D64A
mbfitsansP;1D64B
mbfitsansQ;1D64C
mbfitsansR;1D64D
mbfitsansS;1D64E
mbfitsansT;1D64F
mbfitsansU;1D650
mbfitsansV;1D651
mbfitsansW;1D652
mbfitsansX;1D653
mbfitsansY;1D654
mbfitsansZ;1D655
mbfitsansa;1D656
mbfitsansb;1D657
mbfitsansc;1D658
mbfitsansd;1D659
mbfitsanse;1D65A
mbfitsansf;1D65B
mbfitsansg;1D65C
mbfitsansh;1D65D
mbfitsansi;1D65E
mbfitsansj;1D65F
mbfitsansk;1D660
mbfitsansl;1D661
mbfitsansm;1D662
mbfitsansn;1D663
mbfitsanso;1D664
mbfitsansp;1D665
mbfitsansq;1D666
mbfitsansr;1D667
mbfitsanss;1D668
mbfitsanst;1D669
mbfitsansu;1D66A
mbfitsansv;1D66B
mbfitsansw;1D66C
mbfitsansx;1D66D
mbfitsansy;1D66E
mbfitsansz;1D66F
mttA;1D670
mttB;1D671
mttC;1D672
mttD;1D673
mttE;1D674
mttF;1D675
mttG;1D676
mttH;1D677
mttI;1D678
mttJ;1D679
mttK;1D67A
mttL;1D67B
mttM;1D67C
mttN;1D67D
mttO;1D67E
mttP;1D67F
mttQ;1D680
mttR;1D681
mttS;1D682
mttT;1D683
mttU;1D684
mttV;1D685
mttW;1D686
mttX;1D687
mttY;1D688
mttZ;1D689
mtta;1D68A
mttb;1D68B
mttc;1D68C
mttd;1D68D
mtte;1D68E
mttf;1D68F
mttg;1D690
mtth;1D691
mtti;1D692
mttj;1D693
mttk;1D694
mttl;1D695
mttm;1D696
mttn;1D697
mtto;1D698
mttp;1D699
mttq;1D69A
mttr;1D69B
mtts;1D69C
mttt;1D69D
mttu;1D69E
mttv;1D69F
mttw;1D6A0
mttx;1D6A1
mtty;1D6A2
mttz;1D6A3
imath;1D6A4
jmath;1D6A5
mbfAlpha;1D6A8
mbfBeta;1D6A9
mbfGamma;1D6AA
mbfDelta;1D6AB
mbfEpsilon;1D6AC
mbfZeta;1D6AD
mbfEta;1D6AE
mbfTheta;1D6AF
mbfIota;1D6B0
mbfKappa;1D6B1
mbfLambda;1D6B2
mbfMu;1D6B3
mbfNu;1D6B4
mbfXi;1D6B5
mbfOmicron;1D6B6
mbfPi;1D6B7
mbfRho;1D6B8
mbfvarTheta;1D6B9
mbfSigma;1D6BA
mbfTau;1D6BB
mbfUpsilon;1D6BC
mbfPhi;1D6BD
mbfChi;1D6BE
mbfPsi;1D6BF
mbfOmega;1D6C0
mbfnabla;1D6C1
mbfalpha;1D6C2
mbfbeta;1D6C3
mbfgamma;1D6C4
mbfdelta;1D6C5
mbfepsilon;1D6C6
mbfzeta;1D6C7
mbfeta;1D6C8
mbftheta;1D6C9
mbfiota;1D6CA
mbfkappa;1D6CB
mbflambda;1D6CC
mbfmu;1D6CD
mbfnu;1D6CE
mbfxi;1D6CF
mbfomicron;1D6D0
mbfpi;1D6D1
mbfrho;1D6D2
mbfvarsigma;1D6D3
mbfsigma;1D6D4
mbftau;1D6D5
mbfupsilon;1D6D6
mbfvarphi;1D6D7
mbfchi;1D6D8
mbfpsi;1D6D9
mbfomega;1D6DA
mbfpartial;1D6DB
mbfvarepsilon;1D6DC
mbfvartheta;1D6DD
mbfvarkappa;1D6DE
mbfphi;1D6DF
mbfvarrho;1D6E0
mbfvarpi;1D6E1
mitAlpha;1D6E2
mitBeta;1D6E3
mitGamma;1D6E4
mitDelta;1D6E5
mitEpsilon;1D6E6
mitZeta;1D6E7
mitEta;1D6E8
mitTheta;1D6E9
mitIota;1D6EA
mitKappa;1D6EB
mitLambda;1D6EC
mitMu;1D6ED
mitNu;1D6EE
mitXi;1D6EF
mitOmicron;1D6F0
mitPi;1D6F1
mitRho;1D6F2
mitvarTheta;1D6F3
mitSigma;1D6F4
mitTau;1D6F5
mitUpsilon;1D6F6
mitPhi;1D6F7
mitChi;1D6F8
mitPsi;1D6F9
mitOmega;1D6FA
mitnabla;1D6FB
